Name,SMILES,Halflife,Reference,Published Year of Data,Link,Mean,Geometric Mean,Harmonic Mean,Median,S.D.,Range,Review
Acamprosate,CC(=O)NCCCS(=O)(=O)O,5.7,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 021431/S-000,2003,https://pharmapendium.com/browse/fda/Acamprosate%20Calcium/5b545aa5550c7d164648bed9de213184?reference=23,5.7 h,,,,2.8 h,,"From ""Basic"" table"
"Acetyl gitoxin, 16-",CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CC(C7C8=CC(=O)OC8)OC(=O)C)O)C)C)C)C)O)O,51.6,,,https://doi.org/10.1007/BF01059196,51.6 h,,,,,,
Alprazolam,Cc1nnc2CN=C(c3ccccc3)c3c(ccc(Cl)c3)-n12,16,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 021434/S-000 Part 02,2001,https://pharmapendium.com/browse/fda/Alprazolam/5b1dbcc53585445affb218087ed14037?reference=40,16 h,,,,5.36 h,,"ABA group, No significance between groups accoring to ANOVA"
Alprostadil,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,0.133,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020649/S-000,1997,https://pharmapendium.com/browse/fda/Alprostadil/8b783fb996a9e03c7add1e39c829e4c9?reference=5,8 min,,,,,,
Alvimopan,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,5.3,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 021775/S-000,2005,https://pharmapendium.com/browse/fda/Alvimopan/53586f6e003678da3e6228504fc758f3?reference=80,5.3 h,4.2 h,,,3.8 h,,
Amifostine,NCCCNCCSP(=O)(O)O,0.133,FDA Approval Package 020221/S-002 Part 01,1995,https://pharmapendium.com/browse/fda/Amifostine/216b0bf97c3ef0eb32a8a5ff04987e6b?reference=26,,,,,,,β phase
"Aminocyclopropanecarboxylic acid, 1-",C1CC1(C(=O)O)N,5.9,,,https://doi.org/10.1002/jps.2600841016,,,,,,,
"Aminohexanoic acid, 6-",NCCCCCC(=O)O,4.9,"Frederiksen, M.C., Bowsher, D.J., Ruo, T.I., Henthorn, T.K., Ts'ao, C.-H., Green, D. and Atkinson, A.J., Jr (1984), Kinetics of epsilon-aminocaproic acid distribution, elimination, and antifibrinolytic effects in normal subjects. Clinical Pharmacology & Therapeutics, 35: 387-393.",1984,https://doi.org/10.1038/clpt.1984.48,4.9 h,,,,3.05 h,,
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc12,12.8,"Filser, J. G., Kaumeier, S., Brand, T., Schanz, H., Terlinden, R., & Müller, W. E. (1988). Pharmacokinetics of amitriptyline and amitriptylinoxide after intravenous or oral administration in humans. Pharmacopsychiatry, 21(06), 381-383.",1988,https://doi.org/10.1055/s-2007-1017018,,,,,,,
Amodiaquine,CCN(CC)Cc1cc(Nc2ccnc3c2ccc(Cl)c3)ccc1O,2.1,"White, N. J.; Looareesuwan, Sornchai; Edwards, G.; Phillips, R. E.; Karbwang, Juntra; Nicholl, Deborah D.; Bunch, C.; Warrell, D. A.. Pharmacokinetics of intravenous amodiaquine. British Journal of Clinical Pharmacology (1987), 23(2), 127-135",1987,https://doi.org/10.1111/j.1365-2125.1987.tb03020.x,,2.1 h,,,,0.5 h-5.7 h,Elimination phase
Bepridil,CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1,14.9,"Lawrence J. Lesko, Joseph R. Benotti, Joseph S. Alpert, Priscilla M. Brady, Jane E. McCue, Bonnie H. Weiner, Ira S. Ockene,
Pharmacokinetics of Intravenous Bepridil in Patients With Coronary Disease,
Journal of Pharmaceutical Sciences,
Volume 75, Issue 10,
1986,
Pages 952-954",1986,https://doi.org/10.1002/jps.2600751008,14.9 h,,,,,7.4 h-64 h,Model-independent analysis
Bimatoprost,CCNC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C\[C@@H](O)CCc1ccccc1,0.75,EMA Approval Package ANNEX I,2021,https://pharmapendium.com/browse/ema/Bimatoprost/19eb222ad4ec50b96c11114bbe8787c7?reference=8,45 min,,,,,,
Calcitriol,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,25.9,"Lisbet Brandi, Martin Egfjord, Klaus Olgaard, Pharmacokinetics of 1,25(OH)2D3 and 1α(OH)D3 in normal and uraemic men, Nephrology Dialysis Transplantation, Volume 17, Issue 5, May 2002, Pages 829–842",2002,https://doi.org/10.1093/ndt/17.5.829,25.91 h,,,,3.48 h,,
Cefmenoxime,CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,0.96,FDA Approval Package 050571 Part 01,1987,https://pharmapendium.com/browse/fda/Cefmenoxime%20Hydrochloride/d2aca4fcb286f5a4bc51c0e42c7c6d63?reference=44,0.96 h,,,,,,"Least dose, injection"
Cefonicid,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,5.24,"Fourtillan, J. B., Leroy, A., Lefebvre, M. A., Humbert, G., Fillastre, J. P., Reumont, G., & Ramis, N. (1985). Cross-over study of the pharmacokinetics of cefonicid administered intravenously or intramuscularly to healthy adult humans. European journal of drug metabolism and pharmacokinetics, 10(3), 225–230.",1985,https://doi.org/10.1007/BF03189746,5.24 h,,,,0.84 h,,"β phase, HPLC"
Cefotiam,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,0.767,FDA Approval Package 050601 Part 04,1988,https://pharmapendium.com/browse/fda/Cefotiam%20Hydrochloride/99b0aff8e2d4a4b376d82ac8facc76ac?reference=33,46 min,,,,,,Least dose
Cefpiramide,Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,5.41,"Conte J. E., Jr (1987). Pharmacokinetics of cefpiramide in volunteers with normal or impaired renal function. Antimicrobial agents and chemotherapy, 31(10), 1585–1588. ",1987,https://doi.org/10.1128/AAC.31.10.1585,5.41 h,,,,1.44 h,,
Cephacetrile,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,2.02,"Domínguez-Gil, A., Castiñeiras, M.C., Tabernero, J.M. et al. Pharmacokinetics of cephacetrile in patients with normal or impaired renal function. Eur J Clin Pharmacol 13, 445–448 (1978)",1978,https://doi.org/10.1007/BF00566324,,,,,,,β phase
Chlorprothixene,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc12,25.8,"Bagli, M., Rao, M. L., Höflich, G., Kasper, S., Langer, M., Barlage, U., Beneke, M., Süverkrüp, R., & Möller, H. J. (1996). Pharmacokinetics of chlorprothixene after single intravenous and oral administration of three galenic preparations. Arzneimittel-Forschung, 46(3), 247–250.",1996,https://pubmed.ncbi.nlm.nih.gov/8901143/,25.8 h,,,,13.6 h,,
Cinacalcet,C[C@@H](NCCCc1cc(C(F)(F)F)ccc1)c1c2ccccc2ccc1,19.9,FDA Approval Package Pharmacology Review 021688/S-000 Part 01,2004,https://pharmapendium.com/browse/fda/Cinacalcet%20Hydrochloride/cdf0d09d4dacc43779019541b57a43ef?reference=28,,,,,,,
Clopidogrel,COC(=O)[C@H](c1ccccc1Cl)N1CCc2c(ccs2)C1,3.3,"Collet, JP., Funck-Brentano, C., Prats, J. et al. Intravenous Clopidogrel (MDCO-157) Compared with Oral Clopidogrel: The Randomized Cross-Over AMPHORE Study. Am J Cardiovasc Drugs 16, 43–53 (2016).",2016,https://doi.org/10.1007/s40256-015-0145-0,3.30 h,,,,1.37 h,,Least dose
Danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5c(cno5)C[C@]4(C)[C@H]3CC[C@@]21C,0.17,"Sunesen VH, Vedelsdal R, Kristensen HG, Christrup L, Müllertz A. Effect of liquid volume and food intake on the absolute bioavailability of danazol, a poorly soluble drug. Eur J Pharm Sci. 2005 24, 297-303.",2005,https://doi.org/10.1016/j.ejps.2004.11.005,2.2 h,,,,1.0 h,,
Daunorubicin,COc1c2C(=O)c3c(O)c4c(C[C@@](O)(C(C)=O)C[C@@H]4O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)c(O)c3C(=O)c2ccc1,12.4,"Milena Locci de Oliveira, Adriana Rocha, Glauco Henrique Balthazar Nardotto, Leandro Francisco Pippa, Belinda Pinto Simões, Vera Lucia Lanchote,
Analysis of daunorubicin and its metabolite daunorubicinol in plasma and urine with application in the evaluation of total, renal and metabolic formation clearances in patients with acute myeloid leukemia,
Journal of Pharmaceutical and Biomedical Analysis,
Volume 191,
2020,
113576",2020,https://doi.org/10.1016/j.jpba.2020.113576,12.4 h,,,,,9.61 h-16 h,
"DCQA, 1,3-",C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O)O  ,1.35,,,https://doi.org/10.1016/j.phymed.2014.11.014,1.35 h,,,,0.3 h,,
"DCQA, 3,4-",C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O,1.95,,,https://doi.org/10.1016/j.phymed.2014.11.014,1.95 h,,,,0.3 h,,
"DCQA, 3,5-",C1C(C[C@H](C([C@@H]1OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)(O)C(=O)O,4.15,,,https://doi.org/10.1016/j.phymed.2014.11.014,4.15 h,,,,3.85 h,,
"Demethylfortimicin A, 3-O-",C[C@@H]([C@@H]1CC[C@H]([C@H](O1)O[C@@H]2[C@H]([C@@H]([C@@H]([C@H]([C@H]2O)N(C)C(=O)CN)O)O)N)N)N,2.7,,,https://doi.org/10.1128/AAC.29.3.400,2.7 h,,,,,,
Desferrioxamine,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,3.05,"Intravenous infusion pharmacokinetics of desferrioxamine in thalassaemic patients.
P Lee, N Mohammed, L Marshall, R D Abeysinghe, R C Hider, J B Porter and S Singh
Drug Metabolism and Disposition July 1, 1993, 21 (4) 640-644",1993,https://dmd.aspetjournals.org/content/21/4/640,3.05 h,,,,1.3 h,,
Desipramine,CNCCCN1c2ccccc2CCc2ccccc21,22.4,"Ciraulo, D.A., Barnhill, J.G. and Jaffe, J.H. (1988), Clinical pharmacokinetics of imipramine and desipramine in alcoholics and normal volunteers. Clinical Pharmacology & Therapeutics, 43: 509-518.",1988,https://doi.org/10.1038/clpt.1988.66,22.4 h,,,,4.91 h,,Control subjects
Dexamethasone m-Sulfobenzoate,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)c1cc(S(=O)(=O)O)ccc1,5.4,"Hochhaus, G., Barth, J., Al-Fayoumi, S., Suarez, S., Derendorf, H., Hochhaus, R. and Möllmann, H. (2001), Pharmacokinetics and Pharmacodynamics of Dexamethasone Sodium-m-Sulfobenzoate (DS) after Intravenous and Intramuscular Administration: A Comparison with Dexamethasone Phosphate (DP). The Journal of Clinical Pharmacology, 41: 425-434.",2001,https://doi.org/10.1177/00912700122010285,5.4 h,,,,3.0 h,,"Itself, not dexamethasone"
Dezocine,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,4.2,"Wilson, J.M., Cohen, R.I., Kezer, E.A., Schange, S.J. and Smith, E.R. (1995), Single- and Multiple-Dose Pharmacokinetics of Dezocine in Patients With Acute or Chronic Pain. The Journal of Clinical Pharmacology, 35: 398-403.",1995,https://doi.org/10.1002/j.1552-4604.1995.tb04080.x,4.2 h,,,,1.4 h,,"β phase, Table 1, minimum dose"
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2c1ccc(Cl)c2,56.2,FDA Approval Package Summary Review 211635/S-000 Part 02,2020,PharmaPendium - FDA Approval Package - Diazepam > Summary Review > Summary Review 211635/S-000 Part 02,56.2 h,,,,21.0 h,,
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1.44,FDA Approval Package Label 022396/S-000,2014,https://pharmapendium.com/browse/fda/Diclofenac%20Sodium/114c3525b2b011e67e41865ee0e39f6e?reference=14,1.44 h,,,,0.27 h,,
Dihydroergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3c4c(c[nH]c4ccc3)C[C@H]21,0.548,"Kanto, J., Allonen, H., Koski, K., Koulu, M., Lammintausta, R., Mäntylä, R., Kleimola, T., & Siirtola, T. (1981). Pharmacokinetics of dihydroergotamine in healthy volunteers and in neurological patients after a single intravenous injection. International journal of clinical pharmacology, therapy, and toxicology, 19(3), 127–130.",1981,https://pubmed.ncbi.nlm.nih.gov/7228454/,32.9 min,,,,,,β phase
Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,3.75,FDA Approval Package Label 020092/S-016,2010,https://pharmapendium.com/browse/fda/Diltiazem%20Hydrochloride/9de29b9082976a5adcae970871981e39?reference=4,,,,,,3.0 h-4.5 h,Midpoint of range
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,8.5,"Blyden, G. T., Greenblatt, D. J., Scavone, J. M., & Shader, R. I. (1986). Pharmacokinetics of diphenhydramine and a demethylated metabolite following intravenous and oral administration. Journal of clinical pharmacology, 26(7), 529–533.",1986,https://doi.org/10.1002/j.1552-4604.1986.tb02946.x,8.5 h,,,,1.0 h,,
Dipyridamole,OCCN(CCO)c1nc2c(nc(N(CCO)CCO)nc2N2CCCCC2)c(N2CCCCC2)n1,11.6,"Bjornsson TD, Mahony C. Clinical pharmacokinetics of dipyridamole. Thromb Res Suppl. 1983, 4, 93-104.",1983,https://doi.org/10.1016/0049-3848(83)90364-X,11.6 h,,,,2.2 h,,Terminal halflife of tri-exponential decline
"dOTC, (-)-",C1[C@@H](S[C@@H](O1)CO)N2C=CC(=NC2=O)N,8.92,,,https://doi.org/10.1128/AAC.44.6.1609-1615.2000,8.92 h,,,6.80 h,69.90%,,terminal 
"dOTC, (+)-",C1[C@H](S[C@H](O1)CO)N2C=CC(=NC2=O)N,19.2,,,https://doi.org/10.1128/AAC.44.6.1609-1615.2000,19.2 h,,,18.0 h,31.50%,,terminal 
Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,11,"FDA Approval Package 019668/S-001, S-002, S-003, S-004, S-007 Part 09",1990,https://pharmapendium.com/browse/fda/Doxazosin%20Mesylate/0fc529e89eff0880d2e07fe24bb85a1c?reference=14,,,,,,,
Droperidol,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,2.06,"Cooper, I., Landersdorfer, C. B., St John, A. G., & Graudins, A. (2018). The pharmacokinetics of intranasal droperidol in volunteers characterised via population modelling. SAGE open medicine, 6, 2050312118813283. ",2018,https://doi.org/10.1177/2050312118813283,,,,2.06 h,,1.87 h-2.15 h,
Enoximone,CSc1ccc(C(=O)c2c(C)[nH]c(=O)[nH]2)cc1,2.02,KOIKE. Pharmacokinetics of Enoximone after Various Intravenous Administrations to Healthy Volunteers.,1994,https://doi.org/10.1002/jps.2600840206,2.02 h,,,,0.83 h,,"β phase, least dose"
Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,7.07,"Ranson, M., Shaw, H., Wolf, J. et al. A phase I dose-escalation and bioavailability study of oral and intravenous formulations of erlotinib (Tarceva®, OSI-774) in patients with advanced solid tumors of epithelial origin. Cancer Chemother Pharmacol 66, 53–58 (2010). https://doi.org/10.1007/s00280-009-1133-3",2009,https://doi.org/10.1007/s00280-009-1133-3,,,,7.07 h,,2.75 h-15.2 h,"For dosage of 25 mg IV administration is interrupted, apart from this, least dose of 50 mg is selected, non-compartmental terminal halflife"
Ethacrynic Acid,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.497,"Lacreta FP, Brennan JM, Nash SL, Comis RL, Tew KD, and O'Dwyer P (1994) Pharmacokinetics and bioavailability study of ethacrynic acid as a modulator of drug resistance in patients with cancer.  J. Pharmacol. Exp. Ther. 270:  1186-1191.",1994,https://jpet.aspetjournals.org/content/270/3/1186.long,29.8 min,,,,,11.8 min-160 min,"Biphasic major, value pharmapendium search "
Etomidate,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,4.6,FDA Approval Package 018228 Part 01,1982,https://pharmapendium.com/browse/fda/Etomidate/31b0fd123106d77e0564743ba72e3665?reference=75,4.6 h,,,,2.6 h,,
Fenoldopam,Oc1ccc([C@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1,0.0833,FDA Approval Package Label 019922/S-005,2004,https://pharmapendium.com/browse/fda/Fenoldopam%20Mesylate/d7903ed35991bc2fa5ab094c1892cd3d?reference=2,5 min,,,,,,Little difference between R and S isomers
Fenoprofen,C[C@@H](C(=O)O)c1cc(Oc2ccccc2)ccc1,2.24,"Rubin, A., Rodda, B. E., Warrick, P., Ridolfo, A. S., & Gruber, C. M., Jr (1972). Physiological disposition of fenoprofen in man. II. Plasma and urine pharmacokinetics after oral and intravenous administration. Journal of pharmaceutical sciences, 61(5), 739–745.",1972,https://doi.org/10.1002/jps.2600610514,134.5 min,,,139 min,35.5min,87 min-173 min,Averaged of 4 subjects
Flunisolide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.6,"Chaplin, M. D., Rooks, W., 2nd, Swenson, E. W., Cooper, W. C., Nerenberg, C., & Chu, N. I. (1980). Flunisolide metabolism and dynamics of a metabolite. Clinical pharmacology and therapeutics, 27(3), 402–413.",1980,https://doi.org/10.1038/clpt.1980.54,1.6 h,,,,0.1 h,,
"Fluorouracil, 5-",O=c1[nH]cc(F)c(=O)[nH]1,0.241,"Port R, E, Daniel B, Ding R, W, Herrmann R: Relative Importance of Dose, Body Surface Area, Sex, and Age for 5-Fluorouracil Clearance. Oncology 1991;48:277-281",1991,https://doi.org/10.1159/000226942,14.5 min,,,14.5 min,2.7 min,10.7 min-17.1 min,Averaged in Table 1 Group 1c (no MTX and least frequency)
Flupenthixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc23)CC1,26.3,"Balant-Gorgia, A.E., Balant, L. Antipsychotic Drugs. Clin-Pharmacokinet 13, 65–90 (1987).",1987,https://doi.org/10.2165/00003088-198713020-00001,,,,,,,Averaged from 3 subjects' mean
Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,12.9,"Orlando, R., De Martin, S., Andrighetto, L., Floreani, M. and Palatini, P. (2010), Fluvoxamine pharmacokinetics in healthy elderly subjects and elderly patients with chronic heart failure. British Journal of Clinical Pharmacology, 69: 279-286.",2010,https://doi.org/10.1111/j.1365-2125.2009.03587.x,12.9 h,,,,6.4 h,,Young subjects
Fosphenytoin,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,0.25,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020450/S-003 Part 01,2017,https://pharmapendium.com/browse/fda/Fosphenytoin%20Sodium/cc0b14ad2b9fb61feabdc12ce296d3f4?reference=5,15 min,,,,,,
Fusidic Acid,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)O,14.5,"Turnidge J. (1999). Fusidic acid pharmacology, pharmacokinetics and pharmacodynamics. International journal of antimicrobial agents, 12 Suppl 2, S23–S34. https://doi.org/10.1016/s0924-8579(98)00071-5",1999,https://doi.org/10.1016/s0924-8579(98)00071-5,,,,,,,"β phase, latest reference"
Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,40.3,EMA Approval Package Assessment Report EMEA/CHMP/563746/2008,2009,https://pharmapendium.com/browse/ema/Gefitinib/a48f233c70e055224aba1f9710c85c9e?reference=11,,,,,,,Least dose
Gemifloxacin,CO/N=C1\CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3n2)CC1CN,8.69,"Kim, M.J., Lim, HS., Cho, SH. et al. Comparative Pharmacokinetics and Bioavailability of Gemifloxacin Administered as an Intravenous 200 mg Formulation or an Oral 320 mg Tablet. Clin Drug Investig 34, 195–201 (2014).",2014,https://doi.org/10.1007/s40261-013-0164-z,8.69 h,,,,2.20 h,,
Gliclazide,Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@@H]3C2)cc1,16.4,"Delrat, P., Paraire, M. and Jochemsen, R. (2002), Complete bioavailability and lack of food-effect on pharmacokinetics of gliclazide 30 mg modified release in healthy volunteers. Biopharm. Drug Dispos., 23: 151-157.",2002,https://doi.org/10.1002/bdd.303,16.4 h,,,,4.2 h,,
Grepafloxacin,Cc1c2c(=O)c(C(=O)O)cn(C3CC3)c2cc(N2CCN[C@H](C)C2)c1F,9.4,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020695,1997,https://pharmapendium.com/browse/fda/Grepafloxacin%20Hydrochloride/218aebf5bd41282ae21352e9185663f8?reference=13,9.4 h,,,,,,Least dose
Heroin,CC(=O)Oc1ccc2C[C@@H]3[C@@H]4C=C[C@H](OC(C)=O)[C@@H]5Oc1c2[C@@]54CCN3C,0.127,"Rook, E.J., Huitema, A.D.R., van den Brink, W. et al. Population Pharmacokinetics of Heroin and its Major Metabolites. Clin Pharmacokinet 45, 401–417 (2006)",2006,https://doi.org/10.2165/00003088-200645040-00005,7.6 min,,,,,,"Complex compartment model, estimated from intravenous + inhalation data"
Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,4.35,"Breimer, D.D., Honhoff, C., Zilly, W. et al. Pharmacokinetics of hexobarbital in man after intravenous infusion. Journal of Pharmacokinetics and Biopharmaceutics 3, 1–11 (1975).",1975,https://doi.org/10.1007/BF01066591,261 min,,,,69 min,,
