Name,SMILES,Halflife,Reference,Published Year of Data,Link,Mean,Geometric Mean,Harmonic Mean,Median,S.D.,Range,Review
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,2.14,"Zhou, H., Xu, W., Wu, G., Wu, L., Shentu, J., Pan, Z., Hu, S., & Liu, Y. (2016). Pharmacokinetics and tolerability of intravenous ibuprofen injection in healthy Chinese volunteers: a randomized, open-label, single- and multiple-dose study
. International journal of clinical pharmacology and therapeutics, 54(11), 904–913.",2016,https://doi.org/10.5414/CP202603,2.14 h,,,,0.34 h,,
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,19.9,"Ciraulo, D.A., Barnhill, J.G. and Jaffe, J.H. (1988), Clinical pharmacokinetics of imipramine and desipramine in alcoholics and normal volunteers. Clinical Pharmacology & Therapeutics, 43: 509-518.",1988,https://doi.org/10.1038/clpt.1988.66,19.9 h,,,,4.99 h,,Control subjects
Ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,1.04,"Xie, H., Wang, X., Liu, G., & Wang, G. (2003). Analgesic effects and pharmacokinetics of a low dose of ketamine preoperatively administered epidurally or intravenously. The Clinical journal of pain, 19(5), 317-322.",2003,https://doi.org/10.1097/00002508-200309000-00006,62.54 min,,,,14.93 min,,
Levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,7.13,"Toublanc, N., Du, X., Liu, Y. et al. Pharmacokinetics, Safety and Bioequivalence of Levetiracetam Intravenous Infusion and Oral Tablets in Healthy Chinese Subjects. Clin Drug Investig 35, 495–503 (2015). ",2015,https://doi.org/10.1007/s40261-015-0303-9,,7.13 h,,,,,Healthy Chinese
Lorcainide,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,7.8,"Keefe, D. L. (1984). Pharmacology of lorcainide. The American Journal of Cardiology, 54(4), 18-21.",1984,https://doi.org/10.1016/0002-9149(84)90819-1,7.8 h,,,,,5 h-12 h,
Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4.5,EMA Approval Package Assessment Report EMA/CHMP/121817/2012,2012,https://pharmapendium.com/browse/ema/Mannitol/92e8f2a00e99749b6cd00ba210c5c345?reference=25,4.5 h,,,,1.1 h,,
Maraviroc,Cc1nnc(C(C)C)n1C1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,13.2,EMA Approval Package ANNEX I,2020,https://pharmapendium.com/browse/ema/Maraviroc/c4b566d7660838911f6e544f697ed177?reference=24,,,,,,,
Melatonin,COc1cc2c(cc1)[nH]cc2CCNC(C)=O,0.657,"Andersen, L. P., Werner, M. U., Rosenkilde, M. M., Harpsøe, N. G., Fuglsang, H., Rosenberg, J., & Gögenur, I. (2016). Pharmacokinetics of oral and intravenous melatonin in healthy volunteers. BMC pharmacology & toxicology, 17, 8. ",2016,https://doi.org/10.1186/s40360-016-0052-2,39.4 min,,,,3.6 min,,
Methoxsalen,COc1c2oc(=O)ccc2cc2c1occ2,0.63,"Berezhkovskiy L. M. (2013). Prediction of drug terminal half-life and terminal volume of distribution after intravenous dosing based on drug clearance, steady-state volume of distribution, and physiological parameters of the body. Journal of pharmaceutical sciences, 102(2), 761–771.",2013,https://doi.org/10.1002/jps.23396,,,,,,,
Methylergonovine,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3c4c(c[nH]c4ccc3)C[C@H]2N(C)C1,3.39,FDA Approval Package 006035/S-078 Part 01,2012,https://pharmapendium.com/browse/fda/Methylergonovine%20Maleate/775921fa8318ab0bf05113ccdfc2a35e?reference=11,3.39 h,,,,,1.5 h-12.7 h,"Biphasic, terminal halflife"
Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,4.79,"Srinivas, N.R., Hubbard, J.W., Korchinski, E.D. et al. Enantioselective Pharmacokinetics of dl-threo-Methylphenidate in Humans. Pharm Res 10, 14–21 (1993). ",1993,https://doi.org/10.1023/A:1018956526016,,,,,,,Averaged of d and l isomer
Mianserin,CN1CCN2c3c(cccc3)Cc3ccccc3[C@H]2C1,9.6,"Shami, M., Elliott, H. L., Kelman, A. W., & Whiting, B. (1983). The pharmacokinetics of mianserin. British journal of clinical pharmacology, 15 Suppl 2(Suppl 2), 313S–322S. ",1983,https://doi.org/10.1111/j.1365-2125.1983.tb05880.x,9.6 h,,,,1.9 h,,Young subject
Midazolam,Cc1ncc2CN=C(c3ccccc3F)c3c(ccc(Cl)c3)-n21,3.8,"Lee, S., Lee, Y., Kim, A. H., Yoon, S., Lee, J., Ji, S. C., Yoon, S. H., Lee, S., Yu, K. S., Jang, I. J., & Cho, J. Y. (2021). Urinary metabolic markers reflect on hepatic, not intestinal, CYP3A activity in healthy subjects. Drug metabolism and pharmacokinetics, 36, 100374.",2021,https://doi.org/10.1016/j.dmpk.2020.12.001,3.80 h,,,,0.95 h,,
Midodrine,COc1cc([C@H](O)CNC(=O)CN)c(OC)cc1,0.417,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 019815,1996,https://pharmapendium.com/browse/fda/Midodrine%20Hydrochloride/b93f41c6b2ff4230a9ec01475fb7d1f2?reference=33,25 min,,,,,,
Mifepristone,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,16.7,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020687/S-000 Part 02,1996,https://pharmapendium.com/browse/fda/Mifepristone/2c618771a1921cc9c07b97064c2be93e?reference=19,16.7 h,,,,1.6 h,,
Milnacipran,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,6.4,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 022256/S-000 Part 01,2008,https://pharmapendium.com/browse/fda/Milnacipran%20Hydrochloride/eee63f887193905c94dbc598c4037961?reference=79,6.4 h,,,,1.7 h,,
Mitotane,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,2120,EMA Approval Package ANNEX I,2021,https://pharmapendium.com/browse/ema/Mitotane/3a436077eb206305d6cc8f06385fb60a?reference=10,,,,,,18 d-159 d,Midpoint of range
Moexipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2c(cc(OC)c(OC)c2)C[C@H]1C(=O)O,1.33,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020312 Part 01,1994,https://pharmapendium.com/browse/fda/Moexipril%20Hydrochloride/5ee0312b982e16f7ee0f7f10b94fbf51?reference=6,1.33 h,,,,0.32 h,,
Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,2.68,FDA Approval Package Pharmacology Review 021897/S-000 Part 01,2006,https://pharmapendium.com/browse/fda/Naltrexone/16d44222a5c486e4cbfb41cd47f886a2?reference=34,,,161 min,,,,
Naproxen,COc1cc2ccc([C@H](C)C(=O)O)cc2cc1,16.5,"M.V. Calvo, J.M. Lanao, A. Domínguez-Gil,
Bioavailability of rectally administered naproxen,
International Journal of Pharmaceutics,
Volume 38, Issues 1–3,
1987,
Pages 117-122",1987,https://doi.org/10.1016/0378-5173(87)90106-2,16.45 h,,,,3.12 h,,
Nedocromil,CCCc1c2c(cc3c1oc(C(=O)O)cc3=O)c(=O)cc(C(=O)O)n2CC,0.527,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020750,1997,https://pharmapendium.com/browse/fda/Nedocromil%20Sodium/a7413dab0a23e5ea7b833bc30746acbe?reference=1,31.6 min,,,,7.6 min,,
Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cc([N+](=O)[O-])ccc1,1.2,"Langley, M.S., Sorkin, E.M. Nimodipine. Drugs 37, 669–699 (1989). https://doi.org/10.2165/00003495-198937050-00004",1989,https://doi.org/10.2165/00003495-198937050-00004,,,,,,0.9 h-1.5 h,Midpoint of range
Nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0.0833,FDA Approval Package Label 021780/S-000,2006,https://pharmapendium.com/browse/fda/Nitroglycerin/b405d7bd95a3851f1823f8d8fa065231?reference=5,5 min,,,,,,β phase
Norfloxacin,CCn1cc(C(=O)O)c(=O)c2c1cc(N1CCNCC1)c(F)c2,4.45,"陈西敬,柳晓泉,黄圣凯,王凤臣.诺氟沙星在健康人中的药代动力学[J].中国临床药理学杂志,1992(02):82-86",1992,https://doi.org/10.13699/j.cnki.1001-6821.1992.02.005,4.45 h,,,,1.42 h,,
Orciprenaline,CC(C)NCC(O)c1cc(O)cc(O)c1,6,"Dengler, H. G., & Hengstmann, J. H. (1976). Metabolism and pharmacokinetics of orciprenaline in various animal species and man. Archives internationales de pharmacodynamie et de therapie, 223(1), 71–87.",1976,https://pubmed.ncbi.nlm.nih.gov/999404/,,,,,,,Slower phase
Oxprenolol,C=CCOc1c(OC[C@H](O)CNC(C)C)cccc1,1.09,"Bradbrook, I. D., John, V. A., Morrison, P. J., Rogers, H. J., & Spector, R. G. (1985). Pharmacokinetic investigation of the absorption of oxprenolol from Oros delivery systems in healthy volunteers: comparison of in vivo and in vitro drug release. British journal of clinical pharmacology, 19 Suppl 2(Suppl 2), 163S–169S. ",1985,https://doi.org/10.1111/j.1365-2125.1985.tb02757.x,1.09 h,,,,0.24 h,,
Paliperidone,Cc1c(CCN2CCC(c3noc4cc(F)ccc34)CC2)c(=O)n2CCCC(O)c2n1,24.6,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 021999/S-000 Part 02,2006,https://pharmapendium.com/browse/fda/Paliperidone/755396c081b9fd837bad4f83eed1511b?reference=10,24.6 h,,,,4.8 h,,
Pengitoxin,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3CC[C@]5([C@@]4(C[C@@H]([C@@H]5C6=CC(=O)OC6)OC(=O)C)O)C)C)OC(=O)C)O[C@H]7C[C@@H]([C@@H]([C@H](O7)C)O[C@H]8C[C@@H]([C@@H]([C@H](O8)C)OC(=O)C)OC(=O)C)OC(=O)C,60.8,,,https://doi.org/10.1007/BF01059196,60.8 h,,,,,,
"Penicillamine, D-",CC(C)(S)[C@@H](N)C(=O)O,1.05,"Wiesner, R. H., Dickson, E. R., Carlson, G. L., McPhaul, L. W., & Go, V. L. (1981). The pharmacokinetics of D-penicillamine in man. The Journal of rheumatology. Supplement, 7, 51–55.",1981,https://pubmed.ncbi.nlm.nih.gov/6939886/,62.7 min,,,,5.3 min,,
Phentolamine,Cc1ccc(N(CC2=NCCN2)c2cc(O)ccc2)cc1,2.4,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 022159/S-000,2007,https://pharmapendium.com/browse/fda/Phentolamine%20Mesylate/7d517fc2627916ba1b5645cb27d1f701?reference=21,2 h 24 min,,,,38 min,,Treatment B
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,14.57,"Karol, M.D., Locke, C.S. and Cavanaugh, J.H. (1999), Lack of Pharmacokinetic Interaction between Lansoprazole and Intravenously Administered Phenytoin. The Journal of Clinical Pharmacology, 39: 1283-1289.",1999,https://doi.org/10.1177/00912709922011971,14.57 h,,,,6.18 h,,With placebo
Piretanide,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,1.29,"Trenk D, Wagner F, Jähnchen E, Spahn H, Mutschler E. Pharmacokinetics and bioavailability of piretanide in healthy volunteers following intramuscular administration. Arzneimittel-forschung. 1987 Dec;37(12):1382-1385.",1987,https://pubmed.ncbi.nlm.nih.gov/3449067/,1.29 h,,,,0.40 h,,
Posaconazole,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6c(F)cc(F)cc6)C5)cc4)CC3)cc2)c1=O,18.7,"Kersemaekers, W. M., van Iersel, T., Nassander, U., O'Mara, E., Waskin, H., Caceres, M., & van Iersel, M. L. (2015). Pharmacokinetics and safety study of posaconazole intravenous solution administered peripherally to healthy subjects. Antimicrobial agents and chemotherapy, 59(2), 1246–1251.",2015,https://doi.org/10.1128/AAC.04223-14,18.7 h,,,,34%,,Least dose
Pramipexole,CCCN[C@H]1CCc2c(C1)sc(N)n2,12.6,FDA Approval Package 020667/S-000,1997,https://pharmapendium.com/browse/fda/Pramipexole%20Dihydrochloride/19c35dae583648e93194933ce335d701?reference=682,12.6 h,,,,,,λ phase
Prednisone,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,2.99,"Rose, J.Q., Yurchak, A.M. & Jusko, W.J. Dose dependent pharmacokinetics of prednisone and prednisolone in man. Journal of Pharmacokinetics and Biopharmaceutics 9, 389–417 (1981).",1981,https://doi.org/10.1007/BF01060885,2.99 h,,,,2.08 h,,Least dose
Promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,12.2,"Taylor, G., Houston, J., Shaffer, J. and Mawer, G. (1983), Pharmacokinetics of promethazine and its sulphoxide metabolite after intravenous and oral administration to man.. British Journal of Clinical Pharmacology, 15: 287-293.",1983,https://doi.org/10.1111/j.1365-2125.1983.tb01501.x,12.2 h,,,,2.19 h,,
Quinidine,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1c2cc(OC)ccc2ncc1,10.2,"Darbar, D., Dell'Orto, S., Mörike, K., Wilkinson, G.R. and Roden, D.M. (1997), Dietary salt increases first-pass elimination of oral quinidine. Clinical Pharmacology & Therapeutics, 61: 292-300.",1997,https://doi.org/10.1016/S0009-9236(97)90161-2,10.2 h,,,,1.6 h,,Low-salt diet
Raloxifene,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2c1ccc(O)c2,12.1,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020815/S-000,1997,https://pharmapendium.com/browse/fda/Raloxifene%20Hydrochloride/1008afaa8dd29e30c83a695e890e39b6?reference=14,,,12.1 h,,,,
Ramelteon,CCC(=O)NCC[C@@H]1CCc2ccc3OCCc3c21,1.8,EMA Approval Package Withdrawal Public Statement EMEA/CHMP/551287/2008,2008,https://pharmapendium.com/browse/ema/Ramelteon/5841c3e44aad8adfee1364233eb892ad?reference=10,,,,,,,
Ranolazine,COc1c(OC[C@H](O)CN2CCN(CC(=O)Nc3c(C)cccc3C)CC2)cccc1,1.65,"Jerling, M. Clinical Pharmacokinetics of Ranolazine. Clin Pharmacokinet 45, 469–491 (2006).",2006,https://doi.org/10.2165/00003088-200645050-00003,,,,,,1.4 h-1.9 h,Midpoint of range
Repaglinide,CCOc1c(C(=O)O)ccc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)c1,0.87,"Hatorp, V., Oliver, S., & Su, C. A. (1998). Bioavailability of repaglinide, a novel antidiabetic agent, administered orally in tablet or solution form or intravenously in healthy male volunteers. International journal of clinical pharmacology and therapeutics, 36(12), 636–641.",1998,"Bioavailability of repaglinide, a novel antidiabetic agent, administered orally in tablet or solution form or intravenously in healthy male volunteers - PubMed (nih.gov)",0.87 h,,,,,0.36 h-2.93 h,From pharmapendium search
Rofecoxib,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,9.9,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 021042/S-000; 021052/S-000 Part 10,1998,https://pharmapendium.com/browse/fda/Rofecoxib/95e6f2b929e6a156636e2b1775d23699?reference=4,,,9.9 h,,,,
Scutellarin,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O,1.3,,,https://doi.org/10.1016/j.phymed.2014.11.014,1.3 h,,,,0.5 h,,male-female mean
Sildenafil,CCCc1nn(C)c2c1nc(-c1c(OCC)ccc(S(=O)(=O)N3CCN(C)CC3)c1)[nH]c2=O,2.18,"Muirhead, G. J., Rance, D. J., Walker, D. K., & Wastall, P. (2002). Comparative human pharmacokinetics and metabolism of single-dose oral and intravenous sildenafil. British journal of clinical pharmacology, 53 Suppl 1(Suppl 1), 13S–20S.",2002,https://doi.org/10.1046/j.06-5251.2001.00028.x,,,2.18 h,,,,
Spirapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,41,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 020240 Part 01,1993,https://pharmapendium.com/browse/fda/Spirapril%20Hydrochloride/352382e110c78494a1a1d6bb9c1771e4?reference=29,41 h,,,,14 h,,β phase
Sulpiride,CCN1CCC[C@@H]1CNC(=O)c1c(OC)ccc(S(N)(=O)=O)c1,6.47,"Brès, J., & Bressolle, F. (1991). Pharmacokinetics of sulpiride in humans after intravenous and intramuscular administrations. Journal of pharmaceutical sciences, 80(12), 1119–1124.",1991,https://doi.org/10.1002/jps.2600801206,6.47 h,,,,1 h,,
Tazarotene,CCOC(=O)c1cnc(C#Cc2cc3c(cc2)SCCC3(C)C)cc1,6.2,"Tang-Liu, D.DS., Matsumoto, R.M. & Usansky, J.I. Clinical Pharmacokinetics and Drug Metabolism of Tazarotene. Clin Pharmacokinet 37, 273–287 (1999)",1999,https://doi.org/10.2165/00003088-199937040-00001,,,,,,,
Tenidap,NC(=O)n1c(O)c(C(=O)c2cccs2)c2c1ccc(Cl)c2,22.7,"Gardner, M., Wilner, K., Hansen, R., Fouda, H. and McMahon, G. (1995), Single and multiple dose pharmacokinetics of tenidap sodium in healthy subjects.. British Journal of Clinical Pharmacology, 39: 11S-15S.",1995,https://doi.org/10.1111/j.1365-2125.1995.tb04495.x,,,,,,,Day 1
Tenoxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2c(ccs2)S1(=O)=O,67,"Nilsen, O.G. Clinical Pharmacokinetics of Tenoxicam. Clin. Pharmacokinet. 26, 16–43 (1994).",1994,https://doi.org/10.2165/00003088-199426010-00003,67 h,,,,20 h,,Newest ref.
Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.9,"Tremaine, L.M., Wilner, K.D. & Preskorn, S.H. A Study of the Potential Effect of Sertraline on the Pharmacokinetics and Protein Binding of Tolbutamide. Clin-Pharmacokinet 32, 31–36 (1997). ",1997,https://doi.org/10.2165/00003088-199700321-00005,,,6.9 h,,,,Day 1
Topiramate,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,42.3,"Clark, A.M., Kriel, R.L., Leppik, I.E., Marino, S.E., Mishra, U., Brundage, R.C. and Cloyd, J.C. (2013), Intravenous topiramate: Comparison of pharmacokinetics and safety with the oral formulation in healthy volunteers. Epilepsia, 54: 1099-1105",2013,https://doi.org/10.1111/epi.12134,42.3 h,,,,6.2 h,,
Trandolapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,0.26,FDA Approval Package 020528/S-001 Part 03,1996,https://pharmapendium.com/browse/fda/Trandolapril/2bbb5f8216c88886021f39d86ec079aa?reference=60,0.26 h,,,,0.02 h,,
Treprostinil,CCCCC[C@@H](O)CC[C@@H]1[C@@H](O)C[C@H]2Cc3c(cccc3OCC(=O)O)C[C@@H]12,0.7,FDA Approval Package Medical/Clinical Review 022387/S-000,2009,https://pharmapendium.com/browse/fda/Treprostinil%20Sodium/88c65b7851ca298b82c1c608b8c5087f?reference=96,0.7 h,,,,0.43 h,,Treatment A
Valdecoxib,Cc1c(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)no1,7.41,FDA Approval Package Clinical Pharmacology and Biopharmaceutics Review 021341/S-000 Part 02,2001,https://pharmapendium.com/browse/fda/Valdecoxib/94ab11e29dad8a2b50d6701728624f4a?reference=2,7.41 h,,,,31%,,
"Verapamil, (-)-",COc1c(OC)cc(CCN(C)CCC[C@](C#N)(c2cc(OC)c(OC)cc2)C(C)C)cc1,4.81,"Eichelbaum, M., Mikus, G., & Vogelgesang, B. (1984). Pharmacokinetics of (+)-, (-)- and (+/-)-verapamil after intravenous administration. British journal of clinical pharmacology, 17(4), 453–458. ",1984,https://doi.org/10.1111/j.1365-2125.1984.tb02371.x,,,4.81 h,,,,
"Verapamil, (+)-",COc1c(OC)cc(CCN(C)CCC[C@@](C#N)(c2cc(OC)c(OC)cc2)C(C)C)cc1,4.08,"Eichelbaum, M., Mikus, G., & Vogelgesang, B. (1984). Pharmacokinetics of (+)-, (-)- and (+/-)-verapamil after intravenous administration. British journal of clinical pharmacology, 17(4), 453–458. ",1984,https://doi.org/10.1111/j.1365-2125.1984.tb02371.x,,,4.08 h,,,,
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,36.4,"Andreasen, Per Buch, Vesell, Elliot S., (1974), Comparison of plasma levels of antipyrine, tolbutamide, and warfarin after oral and intravenous administration, Clinical Pharmacology & Therapeutics, 16",1974,https://doi.org/10.1002/cpt19741661059,36.4 h,,,,6.0 h,,
Yohimbine,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]21,1.52,"Pascal Le Corre, Gilles Dollo, François Chevanne, Roger Le Verge,
Biopharmaceutics and metabolism of yohimbine in humans,
European Journal of Pharmaceutical Sciences,
Volume 9, Issue 1,
1999,
Pages 79-84",1999,https://doi.org/10.1016/S0928-0987(99)00046-9,91.0 min,,,,33.6 min,,β phase
Zimelidine,CN(C)C/C=C(\c1ccc(Br)cc1)c1cccnc1,5.1,"Love, B.L., Moore, R.G., Thomas, J. et al. Pharmacokinetics of zimelidine in humans — Plasma levels and urinary excretion of zimelidine and norzimelidine after intravenous and oral administration of zimelidine. Eur J Clin Pharmacol 20, 135–139 (1981).",1981,https://doi.org/10.1007/BF00607150,5.1 h,,,,0.7 h,,
Zolpidem,Cc1ccc(-c2c(CC(=O)N(C)C)n3cc(C)ccc3n2)cc1,2.56,"Weinling, E., McDougall, S., Andre, F., Bianchetti, G. and Dubruc, C. (2006), Pharmacokinetic profile of a new modified release formulation of zolpidem designed to improve sleep maintenance. Fundamental & Clinical Pharmacology, 20: 397-403.",2006,https://doi.org/10.1111/j.1472-8206.2006.00415.x,2.56 h,,,,24%,,
Tolterodine,CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,2.7,,,https://www.pharmapendium.com/browse/fda/Tolterodine%20Tartrate/6e332f6a5d3dbe94ce4228bc67cba26d?reference=8,2.7 h,,,,1.3 h,,1.28 mg dose
852A,CCC1=NC2=C(N1CCCCNS(=O)(=O)C)C3=CC=CC=C3N=C2N,7.17,,,https://doi.org/10.1177/0091270007303766,7.17 h,,,,2.25 h,,
Abacavir,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO,1.5,,,https://doi.org/10.2165/00003088-200847060-00001,1.5 h,,,,,,
Abanoquil,COC1=C(C=C2CN(CCC2=C1)C3=NC4=CC(=C(C=C4C(=C3)N)OC)OC)OC,5.9,,,https://doi.org/10.1111/j.1365-2125.1991.tb03959.x,5.9 h,,,,1.4 h,,
Abexinostat,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,5.9,,,https://doi.org/10.1200/jco.2008.26.15_suppl.14514,,,,,16.50%,,
